Date,NOROESTE 2 CO ppm,NOROESTE 2 NO ppb,NOROESTE 2 NO2 ppb,NOROESTE 2 NOX ppb,NOROESTE 2 O3 ppb,NOROESTE 2 PM10 ug/m3,NOROESTE 2 PM2.5 ug/m3,NOROESTE 2 PRS mmhg,NOROESTE 2 RAINF mm/hr,NOROESTE 2 RH %,NOROESTE 2 SO2 ppb,NOROESTE 2 SR KW/m2,NOROESTE 2 TOUT degC,NOROESTE 2 WSR KMPH,NOROESTE 2 WDV DEG
2023-08-09 00:00:00,0.36,2.9,7.6,10.4,16.0,57.0,7.624,699.5,0.0,55.0,1.9,0.0,28.94,14.8,87.0
2023-08-09 01:00:00,0.35,2.5,8.5,10.9,15.0,46.0,7.433999999999999,699.3,0.0,56.0,1.9,0.0,28.38,12.2,101.0
2023-08-09 02:00:00,0.34,2.2,6.7,8.7,17.0,41.0,6.882,699.3,0.0,59.0,1.9,0.0,27.65,11.2,101.0
2023-08-09 03:00:00,0.3,2.1,6.8,8.8,16.0,35.0,6.953999999999999,699.1,0.0,62.0,1.9,0.0,26.84,9.0,104.0
2023-08-09 04:00:00,0.3,2.1,6.9,8.9,15.0,36.0,6.34,698.9,0.0,64.0,1.9,0.0,26.16,7.2,118.0
2023-08-09 05:00:00,0.31,2.3,8.1,10.3,12.0,28.0,7.512,698.9,0.0,66.0,1.9,0.0,25.39,5.8,115.0
2023-08-09 06:00:00,0.33,6.5,13.0,19.3,8.0,28.0,7.58,698.9,0.0,70.0,1.9,0.0,24.79,5.4,120.0
2023-08-09 07:00:00,0.41,5.2,12.2,17.2,8.0,43.0,7.994,699.3,0.0,72.0,1.8666666666666667,0.0,24.45,5.4,117.0
2023-08-09 08:00:00,0.32,7.5,10.8,18.3,11.0,43.0,10.334,699.4,0.0,70.0,1.8333333333333333,0.0,25.78,5.7,111.0
2023-08-09 09:00:00,0.54,16.5,15.7,32.2,13.0,57.0,12.328,699.4,0.0,63.0,1.8,0.0,27.71,4.6,116.0
2023-08-09 10:00:00,0.53,14.1,20.8,34.9,21.0,88.0,12.214,699.1,0.0,54.0,1.9,0.0,30.24,4.4,134.0
2023-08-09 11:00:00,0.42,5.8,14.4,20.8,43.0,99.0,11.06820338983051,699.1,0.0,48.0,1.8,0.0,31.81,6.5,113.0
2023-08-09 12:00:00,0.42,3.3,11.2,14.4,65.0,98.0,10.978203389830508,698.8,0.0,40.0,1.8,0.0,33.65,7.3,101.0
2023-08-09 13:00:00,0.39,3.0,10.3,13.1,76.0,99.0,9.866,698.3,0.0,31.0,2.1,0.0,36.16,8.2,87.0
2023-08-09 14:00:00,0.42,2.5,10.2,12.6,91.0,93.0,10.138406779661018,697.7,0.0,29.0,2.3,0.0,36.9,13.1,105.0
