Date,CENTRO CO ppm,CENTRO NO ppb,CENTRO NO2 ppb,CENTRO NOX ppb,CENTRO O3 ppb,CENTRO PM10 ug/m3,CENTRO PM2.5 ug/m3,CENTRO PRS mmhg,CENTRO RAINF mm/hr,CENTRO RH %,CENTRO SO2 ppb,CENTRO SR KW/m2,CENTRO TOUT degC,CENTRO WSR KMPH,CENTRO WDV DEG
2024-11-03 16:00:00,1.59,3.5,9.9,13.2,57.0,54.0,26.55,693.7,0.0,60.0,6.3,0.32,28.11,13.5,112.0
2024-11-03 17:00:00,1.57,3.3,9.3,12.5,43.0,44.0,25.8,693.7,0.0,58.0,5.3,0.157,28.12,12.6,112.0
2024-11-03 18:00:00,1.59,2.9,8.4,11.0,33.0,40.0,20.16,693.9,0.0,60.0,5.5,0.016,26.98,8.8,149.0
2024-11-03 19:00:00,1.73,3.4,12.0,15.1,24.0,39.0,21.27,694.3,0.0,63.0,5.5,0.0,26.11,7.2,144.0
2024-11-03 20:00:00,1.76,3.5,12.2,15.5,22.0,36.0,22.43,694.7,0.0,66.0,4.9,0.0,25.48,5.7,172.0
2024-11-03 21:00:00,1.82,4.7,14.4,18.9,15.0,34.0,20.27,694.9,0.0,68.0,3.9,0.0,24.94,5.2,170.0
2024-11-03 22:00:00,2.01,6.8,20.6,27.2,8.0,32.0,27.8,695.0,0.0,69.0,3.7,0.0,24.18,3.7,273.0
2024-11-03 23:00:00,2.05,20.4,25.9,46.1,5.666666666666667,64.0,27.16,695.1,0.0,72.0,3.6,0.0,23.1,3.5,330.0
2024-11-04 00:00:00,2.09,32.6,24.5,56.9,3.3333333333333335,68.0,27.13,694.9,0.0,73.0,3.6,0.0,22.58,5.2,305.0
2024-11-04 01:00:00,1.92,30.3,21.3,51.5,1.0,67.0,26.84,694.8,0.0,76.0,3.5,0.0,21.92,3.2,296.0
2024-11-04 02:00:00,1.82,20.5,20.4,40.8,1.0,62.0,26.17,694.9,0.0,76.0,3.4,0.0,21.55,3.0,47.0
2024-11-04 03:00:00,1.62,7.4,19.9,27.2,3.0,54.0,22.9,694.9,0.0,76.0,3.4,0.0,21.21,2.2,22.0
2024-11-04 04:00:00,1.69,12.6,18.8,31.3,1.0,49.0,27.58,694.7,0.0,81.0,3.5,0.0,20.6,2.5,281.0
2024-11-04 05:00:00,1.72,20.7,17.8,38.5,1.0,65.0,30.33,694.8,0.0,82.0,3.9,0.0,19.9,2.7,353.0
2024-11-04 06:00:00,1.89,28.0,17.2,45.1,1.0,91.0,32.19,694.9,0.0,83.0,3.8,0.0,19.45,2.7,104.0
2024-11-04 07:00:00,2.26,52.8,16.8,69.6,1.5,97.0,48.85,695.1,0.0,85.0,3.8,0.0,18.96,2.6,287.0
2024-11-04 08:00:00,3.07,48.0,27.1,120.7,2.0,155.0,60.05,695.3,0.0,84.0,4.0,0.063,19.39,4.5,312.0
2024-11-04 09:00:00,2.73,43.2,40.8,84.0,10.0,167.0,46.04,695.6,0.0,69.0,4.0,0.231,22.56,3.5,341.0
