Date,NORESTE CO ppm,NORESTE NO ppb,NORESTE NO2 ppb,NORESTE NOX ppb,NORESTE O3 ppb,NORESTE PM10 ug/m3,NORESTE PM2.5 ug/m3,NORESTE PRS mmhg,NORESTE RAINF mm/hr,NORESTE RH %,NORESTE SO2 ppb,NORESTE SR KW/m2,NORESTE TOUT degC,NORESTE WSR KMPH,NORESTE WDV DEG
2024-11-06 20:00:00,1.77,2.4,26.1,28.6,25.0,53.0,24.7,709.2,0.0,45.0,4.9,0.0,23.06,3.9,80.0
2024-11-06 21:00:00,1.65,3.1,21.4,24.7,27.0,46.0,21.66,709.6,0.0,47.0,4.1,0.0,22.37,4.3,81.0
2024-11-06 22:00:00,1.62,2.7,17.9,20.7,27.0,40.0,18.9,709.8,0.0,50.0,4.0,0.0,21.6,2.3,342.0
2024-11-06 23:00:00,1.7,2.5,22.6,25.2,19.0,41.0,15.0,709.8,0.0,54.0,3.8,0.0,20.86,2.3,309.0
2024-11-07 00:00:00,1.76,3.0,33.8,37.0,9.0,40.0,15.0,709.5,0.0,52.0,3.8,0.0,21.17,3.1,330.0
2024-11-07 01:00:00,1.72,5.3,27.1,32.6,15.0,45.0,14.0,709.4,0.0,55.0,3.6,0.0,20.37,3.1,228.0
2024-11-07 02:00:00,1.75,6.9,37.2,44.3,5.0,41.0,15.0,709.4,0.0,57.0,3.9,0.0,19.98,3.1,283.0
2024-11-07 03:00:00,1.72,2.9,36.0,39.1,7.0,47.0,12.0,709.4,0.0,59.0,4.5,0.0,19.55,3.5,230.0
2024-11-07 04:00:00,1.76,5.6,38.2,44.0,7.0,55.0,18.0,709.4,0.0,61.0,5.2,0.0,18.84,2.8,220.0
2024-11-07 05:00:00,1.66,2.8,33.3,36.3,10.0,81.0,20.0,709.4,0.0,63.0,5.5,0.0,18.18,2.1,229.0
2024-11-07 06:00:00,1.65,2.8,31.6,34.6,11.0,79.0,28.0,709.7,0.0,64.0,5.6,0.0,17.82,1.9,237.0
2024-11-07 07:00:00,1.78,17.5,37.8,55.5,5.0,71.0,31.0,710.1,0.0,64.0,5.9,0.0,17.66,1.8,250.0
2024-11-07 08:00:00,2.05,36.7,37.8,74.7,6.0,78.0,28.0,710.4,0.0,60.0,6.2,0.032,19.02,1.8,232.0
2024-11-07 09:00:00,2.28,51.8,44.9,96.9,9.0,74.0,28.0,710.8,0.0,50.0,6.8,0.103,22.6,1.9,1.0
2024-11-07 10:00:00,2.35,36.5,47.4,84.1,17.0,82.0,25.0,711.2,0.0,50.0,6.6,0.379,23.66,2.9,16.0
2024-11-07 11:00:00,2.02,15.5,36.7,52.5,31.0,78.0,23.0,711.1,0.0,50.0,6.0,0.452,24.54,4.2,15.0
2024-11-07 12:00:00,2.19,15.0,45.3,60.6,37.0,75.0,23.0,710.7,0.0,53.0,6.0,0.523,25.1,5.8,26.0
2024-11-07 13:00:00,2.0,10.2,41.6,52.0,57.0,93.0,26.0,710.2,0.0,51.0,7.6,0.604,25.83,8.5,45.0
2024-11-07 14:00:00,1.9,3.9,24.9,29.0,88.0,89.0,37.0,709.4,0.0,50.0,6.5,0.594,26.78,7.9,53.0
2024-11-07 15:00:00,1.78,3.0,17.0,20.2,89.0,73.0,42.0,709.1,0.0,50.0,5.0,0.516,27.41,9.8,49.0
2024-11-07 16:00:00,1.66,2.5,11.2,14.0,69.0,61.0,36.0,708.9,0.0,48.0,4.5,0.367,28.01,13.1,116.0
2024-11-07 17:00:00,1.68,2.8,10.7,13.6,45.0,54.0,31.0,709.0,0.0,56.0,4.0,0.113,27.2,12.9,94.0
2024-11-07 18:00:00,1.68,2.4,9.5,12.1,31.0,53.0,23.0,709.0,0.0,62.0,3.7,0.031,26.49,12.5,102.0
2024-11-07 19:00:00,1.77,2.6,14.1,16.9,20.0,50.0,24.0,709.1,0.0,64.0,3.6,0.0,26.04,8.8,98.0
2024-11-07 20:00:00,1.78,2.9,15.6,18.7,19.0,47.0,24.94,709.3,0.0,63.0,3.5,0.0,26.03,6.4,102.0
2024-11-07 21:00:00,1.68,2.5,11.0,13.7,18.0,45.0,24.7,709.5,0.0,68.0,3.5,0.0,25.65,10.2,68.0
